site,elev,date,julian,larva
Foote,152,2016-05-23,144,0
Frost,462,2016-05-26,147,0
Chipman,180,2016-05-23,144,0
Crystal,569,2016-05-24,145,0
Gilmore,532,2016-05-24,145,0
Gorge,254,2016-05-26,147,0
Foote,152,2016-05-31,152,0
Gorge,254,2016-06-01,153,497
Frost,462,2016-06-01,153,0
Crystal,569,2016-06-02,154,0
Gilmore,532,2016-06-02,154,0
SPIN,417,2016-06-02,154,0
Chipman,180,2016-06-03,155,0
BRF,358,2016-06-03,155,0
Gorge,254,2016-06-06,158,14
Gilmore,532,2016-06-06,158,59
Crystal,569,2016-06-06,158,0
SPIN,417,2016-06-07,159,0
Frost,462,2016-06-07,159,7
Frost,462,2016-06-07,159,0
Crystal,569,2016-06-07,159,0
Chipman,180,2016-06-08,160,2
Foote,152,2016-06-08,160,4
Foote,152,2016-06-08,160,8
BRF,358,2016-06-09,161,0
BRF2,405,2016-06-10,162,1
Foote,152,2016-06-15,167,54
Foote,152,2016-06-15,167,11
Chipman,180,2016-06-15,167,0
Chipman2,240,2016-06-14,166,29
Crystal,569,2016-06-16,168,0
Crystal,569,2016-06-16,168,0
Gilmore,532,2016-06-16,168,4
SPIN,417,2016-06-16,168,0
Gorge,254,2016-06-17,169,71
Frost,462,2016-06-17,169,9
Frost,462,2016-06-17,169,0
BRF,358,2016-06-16,168,0
Chipman2,240,2016-06-21,173,4
BRF2,405,2016-06-16,168,0
SPIN,417,2016-06-20,172,0
Foote,152,2016-06-21,173,1
Gilmore,532,2016-06-20,172,11
Foote,152,2016-06-21,173,6
Crystal,569,2016-06-20,172,0
Crystal,569,2016-06-20,172,0
Chipman,180,2016-06-22,174,0
BRF,358,2016-06-23,175,0
BRF2,405,2016-06-23,175,0
Gorge,254,2016-06-23,175,15
Frost,462,2016-06-24,176,0
Frost,462,2016-06-24,176,0
Foote,152,2016-06-27,179,3
Chipman2,240,2016-06-27,179,0
Foote,152,2016-06-27,179,4
Chipman,180,2016-06-28,180,0
SPIN,417,2016-06-28,180,0
Gorge,254,2016-07-01,183,1
BRF,358,2016-07-01,183,0
BRF2,405,2016-07-01,183,0
Crystal,569,2016-06-30,182,0
Gilmore,532,2016-06-30,182,0
Frost,462,2016-06-30,182,0
Crystal,569,2016-06-30,182,0
Frost,462,2016-06-30,182,1
Gilmore,532,2016-07-05,187,19
Frost,462,2016-07-05,187,8
SPIN,417,2016-07-05,187,0
Frost,462,2016-07-05,187,0
Crystal,569,2016-07-06,188,0
Crystal,569,2016-07-06,188,0
Chipman2,240,2016-07-08,190,0
SPIN,417,2016-07-11,193,0
Crystal,569,2016-07-11,193,0
Chipman,180,2016-07-08,190,0
Gorge,254,2016-07-08,190,0
Crystal,569,2016-07-11,193,0
Foote,152,2016-07-07,189,1
BRF,358,2016-07-07,189,0
Foote,152,2016-07-12,194,2
Chipman,180,2016-07-12,194,0
